platform,wallet,nickname,rank,score,pnl,roi_pct,win_rate_pct,tx,estimated_wins,estimated_losses,estimated_loss_rate_pct,top_token_wins,top_token_losses,pnl_history_change,pnl_history_max_drawdown,top_tokens,profile_url
okx_web3,J23qr98GjGJJqKq9CBEnyRhHbmkaVxtTJNNxKu597wsA,gr3g,89,17.0809,2968.039414,369.79114,66.6667,18,12.0,6.0,33.3333,2,0,0.0,0.0,GO|ZCRASH,https://web3.okx.com/portfolio/J23qr98GjGJJqKq9CBEnyRhHbmkaVxtTJNNxKu597wsA/analysis?chainIndex=501
okx_web3,JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN,West,11,17.0649,14828.177592,59.110222,56.0606,766,429.42,336.58,43.9394,3,0,5506.0,-590.0,Bountywork|1B|WORTHLESS,https://web3.okx.com/portfolio/JDd3hy3gQn2V982mi1zqhNqUw1GfV2UL6g76STojCJPN/analysis?chainIndex=501
okx_web3,8VqheuErt9gYeKvshqGYPJjNj7R3jGXZYwrcFtQUsuad,8VqheuErt9,64,17.0279,1346.117298,308.998898,100.0,10,10.0,0.0,0.0,1,0,0.0,0.0,Aaaugh,https://web3.okx.com/portfolio/8VqheuErt9gYeKvshqGYPJjNj7R3jGXZYwrcFtQUsuad/analysis?chainIndex=501
okx_web3,F8a7K2q1C1vNS5VnWaHrYkMpY5JxmLjytaUHFLaRpFSr,F8a7K2q1C1,80,16.981,855.928311,408.62341,100.0,3,3.0,0.0,0.0,1,0,855.0,0.0,$TOP,https://web3.okx.com/portfolio/F8a7K2q1C1vNS5VnWaHrYkMpY5JxmLjytaUHFLaRpFSr/analysis?chainIndex=501
okx_web3,7HiCCSKTzPrQx2bvkjC97bp3iUppeexCQe6PAKDSxjQs,7HiCCSKTzP,73,16.9707,3511.353714,422.398983,37.5,80,30.0,50.0,62.5,3,0,94.0,-28.0,清正|Brötchen|ANSEM,https://web3.okx.com/portfolio/7HiCCSKTzPrQx2bvkjC97bp3iUppeexCQe6PAKDSxjQs/analysis?chainIndex=501
okx_web3,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,jijo,75,16.9457,1312.771589,278.70629,100.0,17,17.0,0.0,0.0,3,0,684.0,-434.0,ASTEROID|Lyhanna|Thicc,https://web3.okx.com/portfolio/4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk/analysis?chainIndex=501
okx_web3,7Js5gmq57y9jG2sseKrAeJt3vbncSWSFFHDEsyJDnyVm,Yami,7,16.9453,2423.757779,263.612959,100.0,6,6.0,0.0,0.0,1,0,0.0,0.0,PUMPVILLE,https://web3.okx.com/portfolio/7Js5gmq57y9jG2sseKrAeJt3vbncSWSFFHDEsyJDnyVm/analysis?chainIndex=501
okx_web3,C1LB4h3bEZ2cyn8fggEA6SLfawGkJiBmf2sGYYQaofCG,C1LB4h3bEZ,79,16.8555,5355.127055,7.029993,81.9277,432,353.93,78.07,18.0723,3,0,-210.0,-386.0,Jotchua|ZERA|APU,https://web3.okx.com/portfolio/C1LB4h3bEZ2cyn8fggEA6SLfawGkJiBmf2sGYYQaofCG/analysis?chainIndex=501
okx_web3,HsKwGSzNLeKVd81DRm791C9VpPdLEznWB2jiCu4wTJUn,HsKwGSzNLe,54,16.8204,1396.377235,244.804981,100.0,24,24.0,0.0,0.0,3,0,156.0,-29.0,POKEHUB|POKEHUB|ABEL,https://web3.okx.com/portfolio/HsKwGSzNLeKVd81DRm791C9VpPdLEznWB2jiCu4wTJUn/analysis?chainIndex=501
okx_web3,4RyrL9Ew93y5UYhYk5ur95L1ehQQLr2teqVwpRAe6X8E,4RyrL9Ew93,55,16.7446,1664.867663,547.747038,40.0,14,5.6,8.4,60.0,1,0,327.0,-5.0,gaejuki,https://web3.okx.com/portfolio/4RyrL9Ew93y5UYhYk5ur95L1ehQQLr2teqVwpRAe6X8E/analysis?chainIndex=501
