wallet,source,display_name,account_value,active_24h,is_hft,fills_per_min,snapshot_rank,pnl,roi,volume,roi_pct
0xc30c7ea910a71ce06ae840868b0c7e47616ba4c9,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=200,,1658012.509273,True,False,0.0,379.0,2047464.606752,1.85464341,107573280.45,185.464341
0x5875d72130981b18692a3d29545e4038f7eb0c38,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=200,,1712120.884892,True,False,0.0,207.0,1969665.464009,2.0257456581,206702302.5,202.57456581
0x782e432267376f377585fc78092d998f8442ab83,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=200,,1935276.383906,True,False,0.0,2653.0,1911689.735884,0.9446569891,12680217.870000001,94.46569891
0x9c16bc8f1104e4d2f72267eb981fa12de7cc4a6f,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=200,,1108790.027331,True,False,0.0,6520.0,1889901.809217,1.8910718757,2378562.58,189.10718757
0xbf732ea04197942783e34730ed6e0f6099575d58,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=200,,868812.0997169999,True,False,0.0,70.0,1881151.208109,1.1307154894,724772669.41,113.07154894
0xa20fb0c9e04063eec5be286e9269028d966646fa,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=300,,1268832.740074,True,False,0.0,3243.0,1769550.234154,1.1647274252,9840815.82,116.47274252
0x3d4648e9dc896e86e92ebdb98a80cc294069b96d,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=300,,2666282.306661,True,False,0.0,6072.0,1666282.506661,1.6662828399,1373481.14,166.62828399
0x90882e7c28ddf0ac1177033a310aeed8eff25e90,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=300,,592221.085491,True,False,0.0,5426.0,1469421.134008,1.2823592803,3715718.86,128.23592803
0x0514f2f3e0277c47117e3f33d9390efb0acfbdfe,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=300,,986417.836017,True,False,0.0,5627.0,1456186.243764,1.6355176604,3436722.14,163.55176604
0xd1692402c26392ccc8588631d7d5ca9aed4348e5,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=300,,981857.036061,True,False,0.0,34620.0,1452635.195622,1.9920346801,0.0,199.20346801
0xfeec88b13fc0be31695069f02bac18538a154e9c,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=300,,99182.113331,True,False,0.0,4849.0,1414957.079452,2.021157016,4800253.08,202.11570160000002
0x0b00c540bc5f203d97ac87da62164d3d37e19798,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=300,,475686.860544,True,False,0.0,3805.0,1375483.248429,0.8066368311,7492613.52,80.66368311
0x6daec5ff434924e0839358e710e6ae5f158590de,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=400,,1868565.036254,True,False,0.0,4129.0,1261293.003955,2.0769818745,6460246.73,207.69818745
0xf899937184168b1d9dee75acbaa3fef0f52888db,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=400,,913299.378287,True,False,0.0,9126.0,1249802.29247,1.6742226008,840487.3,167.42226008
0xae7a0f9f663bb54bfe95378c7e3de7dd6e28d6bc,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=400,,1128575.34278,True,False,0.0,124.0,1146801.569823,0.8943500231,369978419.65999997,89.43500231
0x4b4bdd734b87bc48683d24f1dc6159e3ab6d6409,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=400,,0.329797,True,False,0.0,468.0,1110684.046879,1.5650609383,87368231.66,156.50609383
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,https://dexly.trade/hyperliquid/leaderboard?window=month&sort=pnl&order=desc&limit=100&offset=500,,1259315.272966,True,False,0.0,11544.0,1008312.789637,2.2073721404,298883.88,220.73721404
