Time,Side,Entry,Exit,PnL,PnL%,Vol_x,EMA_dist%,HTF_trend,HTF_ADX,HTF_ATR,HTF_EMA_slope%,Result
2026-04-11 17:30,Long,73161.57,72900.77,-0.28,-0.36,1.14,0.24,up,34.3,120.4,0.12,LOSS
2026-04-13 16:10,Long,72030.33,73922.6,1.21,2.63,0.58,0.28,up,21.4,358.8,0.25,WIN
2026-04-20 03:35,Long,74527.74,77019.82,1.57,3.34,0.36,0.08,up,25.5,183.6,0.05,WIN
2026-05-21 00:30,Long,77743.4,77198.08,-0.45,-0.70,0.65,0.20,up,50.4,120.4,0.07,LOSS
2026-05-21 17:50,Long,78010.03,77394.33,-0.49,-0.79,0.56,0.53,up,38.3,250.5,0.26,LOSS
2026-05-22 03:00,Long,77749.99,77489,-0.27,-0.34,0.81,0.16,up,50.9,134.1,0.04,LOSS
2026-05-25 14:45,Long,77706.04,77354,-0.33,-0.45,3.48,0.27,up,41.1,115.6,0.09,LOSS
