signal,side,entry_time,exit_time,entry,exit,pnl_pct,funding,oi_change_24h,ret_24h,trend
h9_crowded_long_short,short,2026-05-27 04:00:00,2026-05-28 04:00:00,75977.17,73498.0,3.02304599131555,0.0001,0.015370357577200622,-0.009822256605036439,down
h9_crowded_long_short,short,2026-05-27 08:00:00,2026-05-28 08:00:00,75769.18,73505.66,2.7473888037325827,8.948e-05,0.024057356770117,-0.018324759615229058,down
h9_crowded_long_short,short,2026-05-27 12:00:00,2026-05-28 12:00:00,75326.01,72928.73,2.942539470761825,8.948e-05,0.05925675253117069,-0.015579189760331347,down
h9_crowded_long_short,short,2026-05-27 16:00:00,2026-05-28 16:00:00,75066.08,73419.32,1.953747162500015,9.914e-05,0.03837782806929013,-0.012963761636774818,down
h9_crowded_long_short,short,2026-05-28 20:00:00,2026-05-29 20:00:00,73617.51,73460.78,-0.027102280422146338,0.0001,0.05659904371420321,-0.011172569789104858,down
h9_crowded_long_short,short,2026-05-29 00:00:00,2026-05-30 00:00:00,73301.52,73524.01,-0.5435271301331743,0.0001,0.047340858175022316,0.0005939282270976953,down
h9_crowded_short_long,long,2026-05-22 12:00:00,2026-05-23 12:00:00,76790.59,75520.0,-1.894616796146502,-8.2e-06,0.02298908898173546,-0.006068771384112881,down
flush_rebound_long,long,2026-06-04 08:00:00,2026-06-05 08:00:00,62545.99,61964.99,-1.1689164661075766,1.519e-05,-0.04390839128687618,-0.06741549579176875,down
global_longs_crowded_short,short,2026-05-18 00:00:00,2026-05-19 00:00:00,76924.65,76787.11,-0.06120165642613949,-1.131e-05,-0.011843310363384707,-0.014151555167778995,down
global_longs_crowded_short,short,2026-05-18 04:00:00,2026-05-19 04:00:00,77073.69,77233.69,-0.44759353808024177,-1.131e-05,-0.0022608526957098585,-0.014150931932600086,down
global_longs_crowded_short,short,2026-05-18 08:00:00,2026-05-19 08:00:00,77285.83,76714.62,0.4990876180019102,5.778e-05,0.005269966713299157,-0.01441236666144241,down
global_longs_crowded_short,short,2026-05-18 12:00:00,2026-05-19 12:00:00,76409.46,76521.23,-0.3862776991225878,5.778e-05,0.02201301883585227,-0.021036775632880866,down
global_longs_crowded_short,short,2026-05-18 16:00:00,2026-05-19 16:00:00,76928.0,76818.74,-0.09797108985026147,7.178e-05,0.030275305652795348,-0.018966961804647853,down
global_longs_crowded_short,short,2026-05-18 20:00:00,2026-05-19 20:00:00,77001.87,76834.36,-0.022459828573000204,7.178e-05,0.019304258534135643,-0.005884504400919921,down
global_longs_crowded_short,short,2026-05-19 00:00:00,2026-05-20 00:00:00,76787.11,76723.54,-0.15721266759485686,5.164e-05,0.032365908754805606,-0.0017879834357386049,down
global_longs_crowded_short,short,2026-05-19 04:00:00,2026-05-20 04:00:00,77233.69,77282.64,-0.3033790771876752,5.164e-05,0.023907418577179484,0.0020759353808024184,down
global_longs_crowded_short,short,2026-05-19 08:00:00,2026-05-20 08:00:00,76714.62,77382.49,-1.110590247334868,4.809e-05,0.019003835930343493,-0.007390876180019101,down
global_longs_crowded_short,short,2026-05-19 12:00:00,2026-05-20 12:00:00,76521.23,77455.46,-1.460876872993304,4.809e-05,0.02088351114964615,0.0014627769912258781,down
global_longs_crowded_short,short,2026-05-19 16:00:00,2026-05-20 16:00:00,76818.74,77667.49,-1.344873628492209,5.563e-05,-0.014609021532277167,-0.001420289101497385,down
global_longs_crowded_short,short,2026-05-19 20:00:00,2026-05-20 20:00:00,76834.36,77552.23,-1.1743085567446563,5.563e-05,-0.005641758943298436,-0.0021754017142699977,down
global_longs_crowded_short,short,2026-05-20 00:00:00,2026-05-21 00:00:00,76723.54,78078.72,-2.0063157878273103,3.254e-05,-0.016366009024676775,-0.0008278733240514313,down
global_longs_crowded_short,short,2026-05-20 04:00:00,2026-05-21 04:00:00,77282.64,77889.01,-1.0246134655855375,3.254e-05,-0.016262244380177426,0.0006337907718767521,down
global_longs_crowded_short,short,2026-05-22 16:00:00,2026-05-23 16:00:00,75860.44,75983.45,-0.4021530273222759,2.891e-05,0.030839069608088687,-0.023556529905306323,down
global_longs_crowded_short,short,2026-05-22 20:00:00,2026-05-23 20:00:00,75539.5,76752.01,-1.845133737978126,2.891e-05,0.041481369992020456,-0.026747485554435513,down
