signal,side,trades,win_rate,avg_pnl_pct,median_pnl_pct,total_pnl_pct,profit_factor,best_pct,worst_pct
h9_crowded_long_short,short,6,66.66666666666666,1.6826820029591085,2.350567983116299,10.096092017754652,18.692905116701603,3.02304599131555,-0.5435271301331743
top_longs_crowded_short,short,30,63.33333333333333,1.4007492244280024,0.36495577734906437,42.022476732840076,11.045740678192187,6.953128363021017,-1.2795553242186217
global_longs_crowded_short,short,73,46.57534246575342,0.7932206613956392,-0.06120165642613949,57.90510828188166,2.4705115831765023,6.953128363021017,-3.622899235579506
taker_sell_pressure_short,short,10,30.0,-0.21125342839397016,-0.47284007872772515,-2.1125342839397017,0.7607803656462236,2.7473888037325827,-3.176132946322023
taker_buy_pressure_long,long,2,0.0,-0.3147593211950892,-0.3147593211950892,-0.6295186423901784,0.0,-0.17662092281232478,-0.4528977195778536
flush_rebound_long,long,1,0.0,-1.1689164661075766,-1.1689164661075766,-1.1689164661075766,0.0,-1.1689164661075766,-1.1689164661075766
h9_crowded_short_long,long,1,0.0,-1.894616796146502,-1.894616796146502,-1.894616796146502,0.0,-1.894616796146502,-1.894616796146502
