signal,side,entry_time,exit_time,entry,exit,pnl_pct,funding,oi_change_24h,ret_24h,trend
h9_crowded_long_short,short,2026-05-27 04:00:00,2026-05-28 04:00:00,75977.17,73498.0,3.02304599131555,0.0001,0.015370357577200622,-0.009822256605036439,down
h9_crowded_long_short,short,2026-05-27 08:00:00,2026-05-28 08:00:00,75769.18,73505.66,2.7473888037325827,8.948e-05,0.024057356770117,-0.018324759615229058,down
h9_crowded_long_short,short,2026-05-27 12:00:00,2026-05-28 12:00:00,75326.01,72928.73,2.942539470761825,8.948e-05,0.05925675253117069,-0.015579189760331347,down
h9_crowded_long_short,short,2026-05-27 16:00:00,2026-05-28 16:00:00,75066.08,73419.32,1.953747162500015,9.914e-05,0.03837782806929013,-0.012963761636774818,down
h9_crowded_long_short,short,2026-05-28 20:00:00,2026-05-29 20:00:00,73617.51,73460.78,-0.027102280422146338,0.0001,0.05659904371420321,-0.011172569789104858,down
h9_crowded_long_short,short,2026-05-29 00:00:00,2026-05-30 00:00:00,73301.52,73524.01,-0.5435271301331743,0.0001,0.047340858175022316,0.0005939282270976953,down
h9_crowded_short_long,long,2026-05-22 12:00:00,2026-05-23 12:00:00,76790.59,75520.0,-1.894616796146502,-8.2e-06,0.02298908898173546,-0.006068771384112881,down
flush_rebound_long,long,2026-06-04 08:00:00,2026-06-05 08:00:00,62545.99,61964.99,-1.1689164661075766,1.519e-05,-0.04390839128687618,-0.06741549579176875,down
