signal,side,trades,win_rate,avg_pnl_pct,median_pnl_pct,total_pnl_pct,profit_factor,best_pct,worst_pct
h9_crowded_long_short,short,6,66.66666666666666,1.6826820029591085,2.350567983116299,10.096092017754652,18.692905116701603,3.02304599131555,-0.5435271301331743
flush_rebound_long,long,1,0.0,-1.1689164661075766,-1.1689164661075766,-1.1689164661075766,0.0,-1.1689164661075766,-1.1689164661075766
h9_crowded_short_long,long,1,0.0,-1.894616796146502,-1.894616796146502,-1.894616796146502,0.0,-1.894616796146502,-1.894616796146502
